Benchmark,magic,hbmA,hbmB_shared2,hbmC_shared2,hbmB_shared4,hbmC_shared4,ideal,t_count,total_gates,AvgParallelism,MaxParallelism,Depth,NumQubits
urf1_278,32447,28416,31132,29129,31510,28420,,21532,54766,1.7224595950213637,4.0,30955.0,16.0
urf2_152,—,—,—,—,—,—,,35210,80480,1.8643567168418065,6.0,44100.0,16.0
urf2_277,12214,10486,11810,10777,12078,10515,,7707,20112,1.6933956143765407,4.0,11390.0,16.0
urf3_155,—,—,—,—,—,—,,185276,423488,1.9047798959390316,6.0,229365.0,16.0
urf3_279,—,—,—,—,—,—,,49791,125362,1.7327428651764376,4.0,70702.0,16.0
urf4_187,—,—,—,—,—,—,,224028,512064,2.0157123216740764,9.0,264330.0,16.0
urf5_158,—,—,—,—,—,—,,71932,164416,1.8981538119334929,6.0,89145.0,16.0
urf5_280,28379,25490,27570,26292,27764,25590,,20020,49829,1.7546453546453546,4.0,27822.0,16.0
urf6_160,—,—,—,—,—,—,,75180,171840,1.8749667464751263,11.0,93645.0,16.0
wim_266,510,466,481,488,493,466,,427,986,1.9976580796252927,4.0,514.0,16.0
xor5_254,5,5,5,5,5,5,,0,7,0.0,0.0,5.0,16.0
z4_268,1646,1476,1632,1525,1586,1478,,1337,3073,1.972326103216156,6.0,1644.0,16.0
